Subject_all,MeanMVC_all,StrideTime_all,WalkingAmp_all,NumberofBursts_all
2,0.000131921826431819,1.08899283409119,2.12154602194399e-05,3
2,0.000131921826431819,1.09332680702209,2.69317460392186e-05,3
2,0.000131921826431819,1.0887348651886,2.31156925268675e-05,2
2,0.000131921826431819,1.09874820709229,2.61763890180465e-05,3
2,0.000131921826431819,1.08481788635254,2.66014823998046e-05,3
2,0.000131921826431819,1.0975980758667,2.35744093602444e-05,1
2,0.000131921826431819,1.08057880401611,2.64560548336044e-05,4
2,0.000131921826431819,1.08585214614868,2.45629511360615e-05,4
2,0.000131921826431819,1.08874082565308,3.03070648026085e-05,5
2,0.000131921826431819,1.10151076316833,3.62834323212622e-05,3
2,0.000131921826431819,1.11388754844666,2.54592908679391e-05,4
2,0.000131921826431819,1.1416003704071,2.00473232148425e-05,4
2,0.000131921826431819,1.10016393661499,2.37127886840966e-05,4
2,0.000131921826431819,1.08715152740479,2.4744381051636e-05,5
2,0.000131921826431819,1.0947117805481,2.78323362371756e-05,2
2,0.000131921826431819,1.08036160469055,2.93986370294672e-05,2
2,0.000131921826431819,1.09624099731445,2.85995007658804e-05,3
2,0.000131921826431819,1.12563490867615,4.01283462548679e-05,3
2,0.000131921826431819,1.09908103942871,2.98459503627554e-05,5
2,0.000131921826431819,1.20915865898132,2.45930546494169e-05,4
2,0.000131921826431819,1.16171002388,2.80378404990231e-05,2
2,0.000131921826431819,1.14800763130188,2.819820706087e-05,6
2,0.000131921826431819,1.13672733306885,2.72919174950713e-05,5
2,0.000131921826431819,1.14471483230591,2.56463723816677e-05,2
2,0.000131921826431819,1.13451552391052,3.6733981272612e-05,3
2,0.000131921826431819,1.13909292221069,2.55306698019023e-05,4
2,0.000131921826431819,1.13946628570557,2.10167661548584e-05,3
2,0.000131921826431819,1.09914350509644,2.73827710770962e-05,4
2,0.000131921826431819,1.11129331588745,3.44776094828292e-05,4
2,0.000131921826431819,1.12726259231567,3.66218364388738e-05,3
2,0.000131921826431819,1.11395215988159,2.3323701460309e-05,2
2,0.000131921826431819,1.12582230567932,2.94532333360875e-05,3
2,0.000131921826431819,1.12988424301147,3.59375584405604e-05,4
2,0.000131921826431819,1.11953258514404,2.55975488730194e-05,4
2,0.000131921826431819,1.13650822639465,3.16160693334924e-05,4
2,0.000131921826431819,1.14204597473145,2.92888244380159e-05,5
3,0.000156795404781956,1.19912981987,1.15442313234275e-05,4
3,0.000156795404781956,1.21453785896301,1.02200114324413e-05,3
3,0.000156795404781956,1.23265099525452,9.64125895542033e-06,4
3,0.000156795404781956,1.21103000640869,1.05861959601251e-05,3
3,0.000156795404781956,1.19440031051636,1.10828315022385e-05,3
3,0.000156795404781956,1.16931653022766,1.15688367463655e-05,4
3,0.000156795404781956,1.22218537330627,1.11153014315946e-05,5
3,0.000156795404781956,1.23854207992554,1.12824719954285e-05,4
3,0.000156795404781956,1.22108888626099,1.08525163115935e-05,6
3,0.000156795404781956,1.2007143497467,8.50765120647196e-06,3
3,0.000156795404781956,1.19411182403564,1.51274186848945e-05,5
3,0.000156795404781956,1.19847726821899,1.16670598048711e-05,4
3,0.000156795404781956,1.22453761100769,1.1102049436306e-05,5
3,0.000156795404781956,1.21429491043091,1.11864382766494e-05,3
3,0.000156795404781956,1.21055603027344,1.16552090554811e-05,5
3,0.000156795404781956,1.21035242080688,1.04442055319465e-05,3
3,0.000156795404781956,1.23466062545776,1.01150104841536e-05,2
3,0.000156795404781956,1.25082993507385,1.02717419055444e-05,3
3,0.000156795404781956,1.23292803764343,1.28117932186127e-05,4
3,0.000156795404781956,1.22554111480713,1.01352805099936e-05,7
3,0.000156795404781956,1.24514627456665,1.7870009567257e-05,5
3,0.000156795404781956,1.24035263061523,1.15525170855294e-05,2
3,0.000156795404781956,1.21884059906006,1.09276253802411e-05,3
3,0.000156795404781956,1.23623275756836,1.03378111137875e-05,4
